title,price,area,price_per_sqft,locality,city,property_type,bedroom_num,bathroom_num,balcony_num,furnished,age,total_floors,latitude,longitude,metro_score,bus_score,hwy_score,airport_score,IABS
CCI Rivali Park WinterGreen,29500000,1150,25652.17391,Borivali,Mumbai,Apartment,2,2,0,Unfurnished,3,1,19.21658516,72.86559296,0.8,0.5,0.8,0.0,60.50000000000001
Shanti Rishita Apartment,7300000,850,8588.235294,Mira Road,Mumbai,Apartment,2,2,0,Unfurnished,5,1,19.29603195,72.86982727,0.0,0.0,0.0,0.0,0.0
Today Aikyam,4200000,490,8571.428571,Kharghar,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.08660126,73.07303619,0.0,0.0,0.2,0.0,4.000000000000001
Meghna Heights,3600000,657,5479.452055,Kharghar,Mumbai,Apartment,1,2,0,Semi-Furnished,14,1,19.06855965,73.08152008,0.2,0.0,0.2,0.0,12.000000000000002
Sheth Vasant Sagar,17600000,950,18526.31579,Kandivali,Mumbai,Apartment,2,2,0,Semi-Furnished,12,1,19.20872879,72.87319946,0.2,0.5,0.5,0.0,30.500000000000004
Progressive Mangalam,3500000,700,5000.0,Koper Khairane,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.07828712,73.07828522,0.2,0.0,0.5,0.0,18.000000000000004
Reputed Builder Shapoorji Pallonji Epsilon Astron Tower,26500000,950,27894.73684,Kandivali,Mumbai,Apartment,2,2,0,Unfurnished,4,1,19.21030617,72.86837769,0.5,0.5,0.8,0.0,48.50000000000001
Reputed Builder Green Vatika CHS,16500000,850,19411.76471,Kandivali,Mumbai,Apartment,2,2,0,Unfurnished,14,1,19.21281815,72.86901855,0.5,0.5,0.8,0.0,48.50000000000001
 ,16500000,850,19411.76471,Kandivali,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.2081356,72.87116241,0.2,0.8,0.8,0.0,44.00000000000001
Nisarg Greens Phase 2 E,3599000,700,5141.428571,Ambernath,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.20701027,73.18536377,0.8,0.0,0.0,0.0,32.00000000000001
Patel Ram Ambar,2748000,700,3925.714286,Ambernath,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.19906807,73.19509888,0.0,0.0,0.0,0.0,0.0
 ,6400000,670,9552.238806,Kharghar,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.04979515,73.07844543,0.0,0.0,0.2,0.0,4.000000000000001
Balaji Arpan,11500000,1100,10454.54545,Kharghar,Mumbai,Apartment,2,2,0,Furnished,13,1,19.06352615,73.05749512,0.0,0.0,0.0,0.0,0.0
Monarch Fortune,11500000,1100,10454.54545,Kharghar,Mumbai,Apartment,2,2,0,Unfurnished,12,1,19.06352615,73.05749512,0.0,0.0,0.0,0.0,0.0
 ,13000000,1125,11555.55556,Kharghar,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.0720787,73.0790863,0.2,0.0,0.2,0.0,12.000000000000002
 ,10000000,1100,9090.909091,Kharghar,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.06352615,73.05749512,0.0,0.0,0.0,0.0,0.0
 ,11900000,1180,10084.74576,Panvel,Mumbai,Apartment,2,2,0,Unfurnished,8,1,18.96635246,73.12533569,0.0,0.0,0.8,0.0,16.000000000000004
Dosti Eastern Bay,37000000,1010,36633.66337,Wadala,Mumbai,Apartment,3,3,0,Unfurnished,0,1,19.02209282,72.86715698,0.5,0.0,0.2,0.0,24.000000000000004
 ,7900000,1105,7149.321267,Panvel,Mumbai,Apartment,2,2,0,Unfurnished,8,1,18.96832085,73.12882233,0.0,0.0,0.8,0.0,16.000000000000004
